Make;Model;Annual Petroleum Consumption For Fuel Type1;Annual Petroleum Consumption For Fuel Type2;Time to charge at 120V;Time to charge at 240V;City Mpg For Fuel Type1;Unrounded City Mpg For Fuel Type1 (2);City Mpg For Fuel Type2;Unrounded City Mpg For Fuel Type2;City gasoline consumption;City electricity consumption;EPA city utility factor;Co2 Fuel Type1;Co2 Fuel Type2;Co2  Tailpipe For Fuel Type2;Co2  Tailpipe For Fuel Type1;Combined Mpg For Fuel Type1;Unrounded Combined Mpg For Fuel Type1;Combined Mpg For Fuel Type2;Unrounded Combined Mpg For Fuel Type2;Combined electricity consumption;Combined gasoline consumption;EPA combined utility factor;Cylinders;Engine displacement;Drive;EPA model type index;Engine descriptor;EPA Fuel Economy Score;Annual Fuel Cost For Fuel Type1;Annual Fuel Cost For Fuel Type2;Fuel Type;Fuel Type1;GHG Score;GHG Score Alternative Fuel;Highway Mpg For Fuel Type1;Unrounded Highway Mpg For Fuel Type1;Highway Mpg For Fuel Type2;Unrounded Highway Mpg For Fuel Type2;Highway gasoline consumption;Highway electricity consumption;EPA highway utility factor;Hatchback luggage volume;Hatchback passenger volume;ID;2 door luggage volume;4 door luggage volume;MPG Data;PHEV Blended;2-door passenger volume;4-door passenger volume;Range For Fuel Type1;Range  City For Fuel Type1;Range  City For Fuel Type2;Range  Highway For Fuel Type1;Range  Highway For Fuel Type2;Transmission;Unadjusted City Mpg For Fuel Type1;Unadjusted City Mpg For Fuel Type2;Unadjusted Highway Mpg For Fuel Type1;Unadjusted Highway Mpg For Fuel Type2;Vehicle Size Class;Year;You Save/Spend;Guzzler;Transmission descriptor;T Charger;S Charger;ATV Type;Fuel Type2;Epa Range For Fuel Type2;Electric motor;MFR Code;c240Dscr;charge240b;C240B Dscr;Created On;Modified On;Start-Stop;PHEV City;PHEV Highway;PHEV Combined;baseModel
Toyota;Corolla;11.442692307692308;0.0;0.0;0.0;24;0.0;0;0.0;0.0;0.0;0.0;-1;-1;0.0;341.8076923076923;26;0.0;0;0.0;0.0;0.0;0.0;4;1.6;Front-Wheel Drive;57020;FFS;;2050;0;Regular;Regular Gasoline;;;29;0.0;0;0.0;0.0;0.0;0.0;20;85;3324;0;13;Y;false;0;87;0;0.0;0.0;0.0;0.0;Automatic 3-spd;31.0;0.0;41.0256;0.0;Compact Cars;1987;-750;;;;;;;;;;;0.0;;2013-01-01;2013-01-01;;0;0;0;Corolla
Toyota;Avalon Hybrid;7.43775;0.0;0.0;0.0;40;40.329;0;0.0;0.0;0.0;0.0;224;-1;0.0;224.0;40;39.6307;0;0.0;0.0;0.0;0.0;4;2.5;Front-Wheel Drive;84;;10;1350;0;Regular;Regular Gasoline;10;;39;38.8094;0;0.0;0.0;0.0;0.0;0;0;33373;0;14;Y;false;0;104;0;0.0;0.0;0.0;0.0;Automatic (AV-S6);56.1;0.0;54.2;0.0;Midsize Cars;2013;2750;;;;;Hybrid;;;245V Ni-MH;TYX;;0.0;;2013-01-01;2020-06-02;Y;0;0;0;Avalon
Toyota;RAV4 AWD;11.900400000000001;0.0;0.0;0.0;22;22.3233;0;0.0;0.0;0.0;0.0;357;-1;0.0;357.0;25;24.6957;0;0.0;0.0;0.0;0.0;4;2.5;All-Wheel Drive;91;;6;2150;0;Regular;Regular Gasoline;6;;28;28.3824;0;0.0;0.0;0.0;0.0;0;0;33428;0;0;Y;false;0;0;0;0.0;0.0;0.0;0.0;Automatic (S6);28.5;0.0;40.4;0.0;Small Sport Utility Vehicle 4WD;2013;-1250;;;;;;;;;TYX;;0.0;;2013-01-01;2016-09-26;Y;0;0;0;RAV4
Toyota;Corolla LE Eco;8.750294117647059;0.0;0.0;0.0;30;30.1147;0;0.0;0.0;0.0;0.0;263;-1;0.0;263.0;34;33.9095;0;0.0;0.0;0.0;0.0;4;1.8;Front-Wheel Drive;63;;9;1600;0;Regular;Regular Gasoline;9;;40;40.0829;0;0.0;0.0;0.0;0.0;0;0;34402;0;13;Y;false;0;98;0;0.0;0.0;0.0;0.0;Automatic (variable gear ratios);39.8449;0.0;59.4973;0.0;Midsize Cars;2014;1500;;;;;;;;;TYX;;0.0;;2013-01-01;2016-09-26;N;0;0;0;Corolla
Toyota;4Runner 4WD;16.528333333333336;0.0;0.0;0.0;17;16.6132;0;0.0;0.0;0.0;0.0;478;-1;0.0;478.0;18;18.4309;0;0.0;0.0;0.0;0.0;6;4.0;Part-time 4-Wheel Drive;5;Part Time 4WD;4;3000;0;Regular;Regular Gasoline;4;;21;21.2762;0;0.0;0.0;0.0;0.0;0;0;34453;0;0;N;false;0;0;0;0.0;0.0;0.0;0.0;Automatic (S5);20.6784;0.0;29.5482;0.0;Standard Sport Utility Vehicle 4WD;2014;-5500;;;;;;;;;TYX;;0.0;;2013-01-01;2016-09-26;N;0;0;0;4Runner
Toyota;RAV4 AWD;11.900400000000001;0.0;0.0;0.0;22;22.3233;0;0.0;0.0;0.0;0.0;357;-1;0.0;357.0;25;24.6957;0;0.0;0.0;0.0;0.0;4;2.5;All-Wheel Drive;86;;6;2150;0;Regular;Regular Gasoline;6;;28;28.3824;0;0.0;0.0;0.0;0.0;0;0;34633;0;0;Y;false;0;0;0;0.0;0.0;0.0;0.0;Automatic (S6);28.5;0.0;40.4;0.0;Small Sport Utility Vehicle 4WD;2014;-1250;;;;;;;;;TYX;;0.0;;2013-12-18;2016-09-26;N;0;0;0;RAV4
Toyota;Prius;6.198125;0.0;0.0;0.0;50;49.5125;0;0.0;0.0;0.0;0.0;185;-1;0.0;185.0;48;47.8398;0;0.0;0.0;0.0;0.0;4;1.8;Front-Wheel Drive;133;;10;1100;0;Regular;Regular Gasoline;10;;46;45.9427;0;0.0;0.0;0.0;0.0;22;94;35556;0;0;Y;false;0;0;0;0.0;0.0;0.0;0.0;Automatic (variable gear ratios);72.0295;0.0;69.6895;0.0;Midsize Cars;2015;4000;;;;;Hybrid;;;202V Ni-MH;TYX;;0.0;;2014-08-20;2016-09-26;Y;0;0;0;Prius
Toyota;Avalon Hybrid;7.43775;0.0;0.0;0.0;40;40.3222;0;0.0;0.0;0.0;0.0;223;-1;0.0;223.0;40;39.6361;0;0.0;0.0;0.0;0.0;4;2.5;Front-Wheel Drive;74;;9;1350;0;Regular;Regular Gasoline;9;;39;38.8285;0;0.0;0.0;0.0;0.0;0;0;35780;0;14;Y;false;0;104;0;0.0;0.0;0.0;0.0;Automatic (AV-S6);56.0848;0.0;54.1578;0.0;Midsize Cars;2015;2750;;;;;Hybrid;;;245V Ni-MH;TYX;;0.0;;2014-10-06;2017-04-05;Y;0;0;0;Avalon
Toyota;Corolla LE Eco;9.015454545454546;0.0;0.0;0.0;30;30.1147;0;0.0;0.0;0.0;0.0;266;-1;0.0;266.0;33;33.2763;0;0.0;0.0;0.0;0.0;4;1.8;Front-Wheel Drive;47;2-mode Normal/Eco Transmission;8;1650;0;Regular;Regular Gasoline;8;;38;38.1747;0;0.0;0.0;0.0;0.0;0;0;36804;0;13;Y;false;0;98;0;0.0;0.0;0.0;0.0;Automatic (variable gear ratios);39.8449;0.0;56.272;0.0;Midsize Cars;2016;1250;;;;;;;;;TYX;;0.0;;2015-08-12;2016-09-26;N;0;0;0;Corolla
Toyota;4Runner 2WD;16.528333333333336;0.0;0.0;0.0;16;0.0;0;0.0;0.0;0.0;0.0;-1;-1;0.0;493.72222222222223;18;0.0;0;0.0;0.0;0.0;0.0;6;4.0;Rear-Wheel Drive;0;;;3000;0;Regular;Regular Gasoline;;;20;0.0;0;0.0;0.0;0.0;0.0;0;0;19110;0;0;Y;false;0;0;0;0.0;0.0;0.0;0.0;Automatic 4-spd;20.1;0.0;27.3;0.0;Sport Utility Vehicle - 2WD;2003;-5500;;CLKUP;;;;;;;;;0.0;;2013-01-01;2013-01-01;;0;0;0;4Runner
